time_stamp,sensor_index,pm2.5_cf_1_60minute_a,pm2.5_cf_1_60minute_b
1718182800,102568,10.401,12.09
1718229600,102568,4.331,5.107
1718899200,102568,29.611,31.803
1718546400,102568,5.824,7.183
1718564400,102568,16.772,19.008
1718517600,102568,6.643,7.72
1718553600,102568,5.915,6.896
1719086400,102568,27.514,29.913
1719036000,102568,38.181,41.388
1717974000,102568,0.973,1.473
1717927200,102568,6.559,8.336
1718676000,102568,21.581,24.09
1718600400,102568,22.336,25.063
1718658000,102568,25.854,28.505
1718654400,102568,27.388,30.205
1718607600,102568,24.765,27.515
1718611200,102568,24.474,27.343
1718305200,102568,5.15,6.014
1718287200,102568,6.981,8.325
1718298000,102568,6.213,7.28
1718042400,102568,2.076,2.635
1717988400,102568,3.902,4.788
1719187200,102568,0.711,0.929
1719165600,102568,19.887,22.849
1719169200,102568,21.4,24.284
1719140400,102568,21.739,23.587
1717794000,102568,1.298,1.861
1718989200,102568,29.949,32.45
1719003600,102568,32.576,35.961
1718960400,102568,42.072,45.626
1718938800,102568,38.062,40.498
1718776800,102568,28.652,31.375
1718802000,102568,30.068,32.499
1718787600,102568,29.102,31.9
1718766000,102568,26.517,28.983
1718834400,102568,34.428,37.002
1717822800,102568,9.864,11.381
1717840800,102568,7.691,9.003
1718334000,102568,7.836,9.067
1718402400,102568,15.368,18.119
1718362800,102568,14.053,16.864
1718395200,102568,19.002,22.453
1718355600,102568,10.973,13.204
1718377200,102568,14.758,17.046
1717704000,102568,1.2,1.754
1717678800,102568,7.256,8.162
1718132400,102568,6.767,7.77
1718089200,102568,4.883,5.601
1718146800,102568,6.727,7.659
1718107200,102568,12.021,13.791
1718492400,102568,1.732,2.016
1718470800,102568,0.444,0.696
1718413200,102568,8.108,9.57
1718233200,102568,3.891,4.63
1718168400,102568,10.209,11.697
1718845200,102568,22.796,24.402
1718848800,102568,22.491,24.341
1718892000,102568,26.319,28.768
1718575200,102568,17.308,19.334
1718499600,102568,2.249,2.752
1718524800,102568,6.213,7.089
1719025200,102568,35.437,38.287
1719039600,102568,40.875,44.317
1719054000,102568,42.849,47.688
1717959600,102568,0.843,1.373
1717941600,102568,3.337,4.296
1717902000,102568,4.323,5.474
1717956000,102568,0.862,1.294
1717963200,102568,1.409,1.935
1717894800,102568,3.526,4.647
1717970400,102568,1.648,2.285
1718712000,102568,22.826,24.633
1718733600,102568,18.139,19.855
1718251200,102568,7.53,8.495
1717999200,102568,5.362,6.605
1718006400,102568,5.875,7.26
1718049600,102568,2.317,2.938
1718002800,102568,5.611,6.928
1719144000,102568,20.988,22.806
1717765200,102568,0.136,0.265
1717718400,102568,0.556,0.854
1717797600,102568,1.279,1.777
1718971200,102568,45.412,49.783
1718942400,102568,41.096,44.706
1718967600,102568,42.852,46.826
1718780400,102568,29.964,32.665
1718794800,102568,28.14,30.579
1718769600,102568,26.476,29.175
1717830000,102568,9.436,11.234
1717855200,102568,9.072,11.204
1717815600,102568,8.614,10.018
1717812000,102568,3.614,4.381
1717804800,102568,0.923,1.398
1717808400,102568,1.35,1.841
1718326800,102568,5.97,6.964
1718330400,102568,7.066,8.152
1717682400,102568,4.548,5.509
1717664400,102568,13.632,15.403
1717646400,102568,15.055,17.055
1718110800,102568,14.616,16.044
1718067600,102568,1.782,2.389
1718427600,102568,5.124,6.17
1718474400,102568,0.661,0.836
1718488800,102568,0.947,1.311
1718467200,102568,0.508,0.721
1718431200,102568,5.488,6.71
1718456400,102568,1.495,1.94
1718409600,102568,7.523,9.079
1718222400,102568,4.31,5.096
1718172000,102568,12.588,13.899
1718211600,102568,4.649,5.35
1718193600,102568,12.316,14.458
1718150400,102568,7.034,8.247
1718924400,102568,32.334,34.663
1718852400,102568,21.745,23.66
1718863200,102568,22.171,24.177
1718510400,102568,7.22,8.287
1718532000,102568,5.882,6.997
1718578800,102568,16.818,19.013
1719061200,102568,44.678,48.897
1719057600,102568,45.679,50.465
1719021600,102568,33.025,35.623
1719082800,102568,28.891,31.364
1719043200,102568,41.307,44.716
1719068400,102568,40.339,44.178
1717952400,102568,0.835,1.371
1717905600,102568,4.646,5.562
1717923600,102568,8.329,10.117
1717948800,102568,0.979,1.584
1718704800,102568,19.392,20.931
1718679600,102568,23.19,25.398
1718697600,102568,19.289,21.056
1718701200,102568,18.797,20.779
1718730000,102568,22.041,23.966
1718614800,102568,25.568,28.252
1718622000,102568,28.006,31.332
1718618400,102568,27.662,30.803
1718589600,102568,21.267,23.959
1718596800,102568,20.177,22.953
1718301600,102568,5.409,6.219
1718280000,102568,17.07,19.453
1718276400,102568,14.705,16.821
1718269200,102568,10.441,11.973
1718262000,102568,13.861,15.345
1718308800,102568,4.962,5.74
1717992000,102568,3.878,4.806
1718031600,102568,4.407,5.622
1718035200,102568,2.726,3.611
1718013600,102568,5.576,6.773
1719104400,102568,25.79,27.75
1719162000,102568,16.267,18.517
1719172800,102632,20.288,19.086
1719111600,102632,27.855,26.108
1719140400,102632,22.788,21.532
1717736400,102632,1.762,1.276
1717754400,102632,2.285,1.706
1718337600,102632,8.972,8.376
1718402400,102632,14.591,13.652
1718377200,102632,14.678,13.791
1718348400,102632,11.411,10.029
1718344800,102632,11.095,9.823
1718388000,102632,18.823,17.85
1718323200,102632,6.282,5.409
1718506800,102632,7.585,6.362
1718560800,102632,13.409,12.368
1718546400,102632,5.762,4.763
1718020800,102632,4.489,3.923
1717988400,102632,3.837,3.357
1718035200,102632,2.825,2.377
1718010000,102632,7.767,7.153
1718060400,102632,2.568,2.24
1718463600,102632,0.351,0.076
1718492400,102632,1.939,1.546
1718434800,102632,6.614,5.957
1718409600,102632,7.404,6.469
1719021600,102632,36.303,34.752
1719072000,102632,37.215,35.718
1719090000,102632,27.755,26.389
1719061200,102632,41.716,39.663
1719079200,102632,31.715,30.492
1719039600,102632,44.06,42.95
1719043200,102632,45.315,44.087
1718719200,102632,24.84,23.444
1718686800,102632,25.364,24.117
1718733600,102632,18.273,16.659
1718892000,102632,27.359,25.242
1718845200,102632,24.654,23.47
1718906400,102632,31.375,29.581
1718838000,102632,30.874,29.094
1718834400,102632,36.255,34.165
