time_stamp,sensor_index,humidity_a,humidity_b,temperature_a,temperature_b,pressure_a,pressure_b,pm1.0_60minute_a,pm1.0_60minute_b,pm2.5_60minute_a,pm2.5_60minute_b,pm10.0_60minute_a,pm10.0_60minute_b
1718172000,102568,64.1,NA,62.0,NA,996.354,NA,9.233,9.978,12.588,13.899,13.395,14.908
1718179200,102568,66.7,NA,60.733,NA,996.745,NA,9.188,10.308,11.786,13.511,12.38,14.331
1718200800,102568,43.767,NA,77.1,NA,998.13,NA,4.94,5.728,6.008,7.018,6.242,7.367
1718463600,102568,28.2,NA,82.534,NA,1000.696,NA,0.508,0.8,0.711,1.038,0.786,1.123
1718312400,102568,31.4,NA,92.0,NA,993.519,NA,4.013,4.436,4.809,5.504,4.969,5.663
1717858800,102568,49.367,NA,74.466,NA,994.079,NA,2.211,2.74,2.774,3.484,3.035,3.841
1717808400,102568,44.3,NA,75.1,NA,990.505,NA,0.875,1.28,1.35,1.841,1.764,2.214
1718125200,102568,34.666,NA,76.8,NA,996.047,NA,4.329,4.76,5.841,6.707,6.28,7.357
1718107200,102568,68.733,NA,60.067,NA,996.936,NA,8.772,9.823,12.021,13.791,12.851,14.849
1717707600,102568,37.534,NA,84.933,NA,984.465,NA,0.708,1.024,0.954,1.298,1.153,1.45
1717660800,102568,81.633,NA,74.367,NA,985.136,NA,10.558,11.117,13.787,15.767,14.399,16.493
1717945200,102568,45.534,NA,75.133,NA,991.944,NA,2.8,3.494,3.338,4.182,3.474,4.394
1717902000,102568,55.067,NA,76.0,NA,989.559,NA,3.545,4.443,4.323,5.474,4.728,5.865
1717934400,102568,59.8,NA,69.467,NA,991.867,NA,8.366,9.21,10.87,12.633,11.077,12.995
1717974000,102568,25.967,NA,81.534,NA,989.614,NA,0.79,1.154,0.973,1.473,1.09,1.687
1717930800,102568,60.1,NA,69.834,NA,991.446,NA,4.953,6.024,6.191,7.655,6.356,7.994
1718031600,102568,45.167,NA,73.1,NA,991.048,NA,3.799,4.947,4.407,5.622,4.591,5.828
1718168400,102568,60.4,NA,63.166,NA,996.201,NA,7.851,8.755,10.209,11.697,10.771,12.385
1718175600,102568,65.5,NA,61.267,NA,996.534,NA,8.673,9.532,11.309,12.764,11.971,13.582
1718197200,102568,52.0,NA,73.334,NA,998.221,NA,6.104,7.142,7.838,9.097,8.347,9.671
1718161200,102568,53.267,NA,66.666,NA,995.926,NA,8.521,9.664,11.119,12.764,11.773,13.477
1718334000,102568,52.367,NA,76.8,NA,993.819,NA,6.29,7.11,7.836,9.067,8.274,9.596
1718402400,102568,49.933,NA,87.833,NA,992.405,NA,13.238,15.344,15.368,18.119,15.623,18.467
1718481600,102568,23.633,NA,87.733,NA,998.897,NA,0.874,1.338,1.16,1.745,1.266,1.868
1718352000,102568,74.733,NA,71.267,NA,992.136,NA,8.393,9.459,10.386,11.998,10.825,12.601
1718416800,102568,54.6,NA,79.434,NA,994.963,NA,7.388,8.67,8.705,10.48,9.026,10.907
1718445600,102568,57.8,NA,67.434,NA,999.271,NA,3.787,4.493,4.682,5.599,4.925,5.872
1718370000,102568,72.3,NA,76.666,NA,994.415,NA,12.011,13.524,15.101,17.693,15.82,18.601
1717732800,102568,54.7,NA,69.133,NA,987.426,NA,0.683,1.046,0.976,1.535,1.308,1.808
1717722000,102568,46.533,NA,77.4,NA,985.909,NA,0.23,0.486,0.535,0.81,0.867,1.095
1717729200,102568,51.334,NA,71.333,NA,987.105,NA,0.525,0.918,0.89,1.351,1.236,1.667
1717765200,102568,38.9,NA,74.166,NA,990.563,NA,0.045,0.13,0.136,0.265,0.315,0.471
1717772400,102568,33.566,NA,76.8,NA,990.856,NA,0.171,0.429,0.416,0.724,0.523,0.839
1717790400,102568,28.8,NA,83.133,NA,990.375,NA,1.018,1.462,1.448,1.963,1.701,2.194
1718254800,102568,61.334,NA,67.834,NA,995.378,NA,7.405,8.235,9.979,11.165,11.011,12.241
1718240400,102568,49.1,NA,76.0,NA,994.947,NA,4.362,4.947,5.411,6.191,5.663,6.544
1718290800,102568,40.633,NA,83.733,NA,996.373,NA,6.125,7.022,7.309,8.53,7.56,8.806
1718262000,102568,65.6,NA,65.334,NA,995.235,NA,10.16,11.014,13.861,15.345,14.951,16.638
1717819200,102568,53.034,NA,67.233,NA,991.639,NA,7.947,9.334,10.277,11.846,11.09,12.714
1717887600,102568,49.834,NA,78.834,NA,990.461,NA,1.656,2.183,2.087,2.675,2.3,2.936
1717869600,102568,57.534,NA,77.166,NA,992.372,NA,3.091,3.96,3.776,4.812,4.085,5.249
1718100000,102568,69.867,NA,55.0,NA,996.269,NA,4.715,5.285,5.995,6.992,6.341,7.405
1717664400,102568,81.367,NA,74.0,NA,985.286,NA,10.415,10.924,13.632,15.403,14.142,16.139
1717898400,102568,54.133,NA,77.0,NA,989.646,NA,3.411,4.434,4.224,5.351,4.549,5.67
1718056800,102568,44.7,NA,69.633,NA,992.65,NA,1.646,2.256,2.061,2.837,2.236,3.042
1718229600,102568,32.7,NA,86.0,NA,994.872,NA,3.545,4.12,4.331,5.107,4.525,5.349
1718467200,102568,26.767,NA,84.066,NA,1000.38,NA,0.292,0.519,0.508,0.721,0.573,0.813
1718330400,102568,50.933,NA,78.434,NA,993.542,NA,5.771,6.529,7.066,8.152,7.416,8.553
1718348400,102568,66.0,NA,73.233,NA,993.909,NA,8.034,9.06,9.866,11.343,10.289,11.799
1718395200,102568,43.033,NA,90.9,NA,992.774,NA,16.125,18.553,19.002,22.453,19.407,22.886
1718420400,102568,49.633,NA,78.034,NA,995.577,NA,5.905,7.041,7.002,8.306,7.261,8.533
1718431200,102568,48.2,NA,74.666,NA,996.592,NA,4.593,5.565,5.488,6.71,5.675,7.014
1717786800,102568,28.4,NA,81.867,NA,990.697,NA,0.867,1.175,1.17,1.625,1.399,1.863
1718251200,102568,59.6,NA,68.434,NA,995.257,NA,6.045,6.752,7.53,8.495,7.924,8.939
1717830000,102568,63.4,NA,62.5,NA,992.322,NA,7.353,8.724,9.436,11.234,10.285,12.122
1717873200,102568,53.433,NA,79.267,NA,992.033,NA,3.389,4.238,4.11,5.095,4.5,5.46
1718139600,102568,30.267,NA,81.834,NA,994.388,NA,5.42,6.049,7.159,8.355,7.644,8.869
1718067600,102568,53.334,NA,64.966,NA,993.529,NA,1.481,1.914,1.782,2.389,1.913,2.486
1718082000,102568,65.633,NA,57.666,NA,995.012,NA,2.425,2.998,3.009,3.778,3.211,4.008
1718128800,102568,31.166,NA,79.267,NA,995.712,NA,4.358,4.859,5.915,6.881,6.451,7.502
1717653600,102568,81.834,NA,74.966,NA,985.454,NA,12.183,12.944,15.779,18.166,16.201,18.774
1717959600,102568,30.834,NA,81.466,NA,990.237,NA,0.68,1.095,0.843,1.373,1.001,1.472
1717905600,102568,56.6,NA,75.6,NA,989.547,NA,3.763,4.5,4.646,5.562,5.053,5.97
1717992000,102568,49.834,NA,66.0,NA,989.678,NA,3.228,4.021,3.878,4.806,4.171,5.089
1717984800,102568,42.0,NA,70.0,NA,989.829,NA,2.542,3.314,3.178,4.045,3.494,4.288
1718024400,102568,48.633,NA,71.133,NA,990.805,NA,3.758,4.947,4.5,5.729,4.862,6.018
1718038800,102568,45.466,NA,72.133,NA,992.195,NA,1.387,2.029,1.742,2.455,1.919,2.589
1718013600,102568,66.233,NA,62.0,NA,989.841,NA,4.633,5.684,5.576,6.773,5.941,7.061
1718413200,102568,51.466,NA,82.934,NA,993.822,NA,6.947,8.181,8.108,9.57,8.456,9.933
1718341200,102568,57.466,NA,75.867,NA,994.413,NA,6.391,7.271,7.835,9.023,8.223,9.472
1718398800,102568,50.066,NA,88.833,NA,992.543,NA,15.293,17.258,17.934,20.521,18.32,21.078
1718337600,102568,54.666,NA,75.633,NA,994.079,NA,5.989,6.928,7.433,8.672,7.655,9.021
1718427600,102568,49.4,NA,75.0,NA,996.337,NA,4.281,5.112,5.124,6.17,5.32,6.413
1718406000,102568,38.1,NA,91.4,NA,992.682,NA,9.188,10.867,10.473,12.62,10.651,12.86
1718355600,102568,76.3,NA,71.0,NA,993.147,NA,8.988,10.499,10.973,13.204,11.365,13.639
1717794000,102568,29.1,NA,83.966,NA,990.202,NA,0.915,1.434,1.298,1.861,1.726,2.207
1718280000,102568,66.167,NA,69.466,NA,996.427,NA,11.753,13.16,17.07,19.438,19.535,22.012
1717862400,102568,53.925,NA,74.2,NA,993.41,NA,2.571,3.152,3.165,3.978,3.46,4.271
1718096400,102568,69.466,NA,55.367,NA,995.641,NA,4.402,4.905,5.609,6.307,5.942,6.639
1718092800,102568,69.033,NA,56.0,NA,995.447,NA,4.101,4.638,5.208,6.112,5.442,6.47
1717689600,102568,51.534,NA,81.6,NA,986.142,NA,2.693,3.237,3.521,4.409,4.022,4.919
1717646400,102568,82.767,NA,76.0,NA,985.267,NA,11.602,12.421,15.055,17.055,15.588,17.706
1717909200,102568,58.6,NA,75.0,NA,989.09,NA,4.422,5.314,5.357,6.479,5.816,6.991
1717891200,102568,54.433,NA,77.267,NA,990.161,NA,1.858,2.591,2.469,3.247,2.792,3.519
1717920000,102568,63.867,NA,74.0,NA,988.779,NA,6.617,8.321,7.989,9.941,8.351,10.448
1717988400,102568,45.2,NA,67.833,NA,989.768,NA,3.166,3.907,3.902,4.788,4.151,5.059
1718190000,102568,68.133,NA,62.067,NA,997.969,NA,10.12,11.2,14.101,15.953,15.333,17.494
1718164800,102568,55.833,NA,64.867,NA,996.144,NA,8.607,9.788,11.375,13.123,12.064,13.988
1718409600,102568,38.525,NA,89.117,NA,993.273,NA,6.582,7.821,7.523,9.079,7.735,9.383
1718359200,102568,76.966,NA,71.6,NA,993.482,NA,10.223,11.893,12.649,15.079,13.012,15.596
1718434800,102568,49.567,NA,73.466,NA,996.986,NA,4.927,5.717,5.883,6.956,6.1,7.19
1717743600,102568,60.7,NA,65.434,NA,987.702,NA,0.804,1.042,1.33,1.634,1.889,2.129
1717776000,102568,32.5,NA,78.233,NA,991.031,NA,0.44,0.809,0.607,0.998,0.705,1.153
1718301600,102568,32.666,NA,89.966,NA,994.572,NA,4.518,5.109,5.409,6.219,5.572,6.473
1718305200,102568,32.8,NA,89.966,NA,994.207,NA,4.309,4.995,5.15,6.014,5.381,6.182
1718247600,102568,55.167,NA,70.767,NA,995.39,NA,7.418,8.574,9.227,10.616,9.524,11.117
1718308800,102568,31.8,NA,90.933,NA,993.876,NA,4.199,4.803,4.962,5.74,5.136,5.981
1717844400,102568,69.334,NA,61.133,NA,994.098,NA,6.8,8.152,8.713,10.354,9.48,11.139
1717866000,102568,55.0,NA,76.233,NA,992.915,NA,2.885,3.702,3.559,4.567,3.967,4.882
1717880400,102568,51.233,NA,80.067,NA,991.258,NA,3.092,4.018,3.716,4.74,4.032,5.131
1718103600,102568,71.7,NA,56.267,NA,996.699,NA,5.757,6.721,7.451,8.91,7.839,9.563
1717678800,102568,67.966,NA,77.2,NA,986.914,NA,5.768,6.287,7.256,8.162,7.535,8.498
1717711200,102568,33.233,NA,85.2,NA,984.521,NA,0.493,0.855,0.71,1.131,0.879,1.365
1717941600,102568,49.5,NA,74.633,NA,992.179,NA,2.814,3.604,3.337,4.296,3.495,4.441
1717952400,102568,38.433,NA,78.8,NA,991.54,NA,0.694,1.123,0.835,1.371,0.958,1.494
1717966800,102568,31.1,NA,83.166,NA,989.377,NA,1.707,2.399,2.099,2.825,2.224,2.966
1717938000,102568,54.4,NA,73.0,NA,992.592,NA,1.627,2.174,2.014,2.65,2.168,2.786
1717894800,102568,53.967,NA,77.0,NA,989.736,NA,2.823,3.788,3.526,4.647,3.94,4.936
1717970400,102568,30.3,NA,82.133,NA,989.515,NA,1.329,1.878,1.648,2.285,1.721,2.462
1718053200,102568,44.233,NA,70.0,NA,992.505,NA,1.715,2.131,2.189,2.7,2.317,2.818
1718020800,102568,53.333,NA,67.334,NA,990.677,NA,3.71,4.97,4.473,5.817,4.748,6.145
1718002800,102568,62.233,NA,63.9,NA,989.093,NA,4.681,5.888,5.611,6.928,5.847,7.262
1718028000,102568,46.334,NA,72.733,NA,990.892,NA,4.057,5.318,4.734,6.182,4.926,6.399
1718222400,102568,30.833,NA,85.5,NA,995.63,NA,3.51,4.082,4.31,5.096,4.503,5.313
1718186400,102568,68.4,NA,60.1,NA,997.539,NA,8.825,9.617,12.185,13.731,13.143,14.932
1718204400,102568,40.067,NA,78.5,NA,997.869,NA,4.428,5.221,5.472,6.571,5.681,6.859
1718323200,102568,47.5,NA,84.233,NA,993.105,NA,4.689,5.442,5.766,6.663,6.104,6.966
1718438400,102568,50.166,NA,71.834,NA,997.516,NA,4.15,4.99,4.999,6.079,5.204,6.311
1718460000,102568,29.7,NA,81.666,NA,1000.806,NA,0.741,0.877,0.946,1.262,1.022,1.355
1718373600,102568,65.833,NA,79.434,NA,994.093,NA,12.035,13.432,14.671,17.019,15.291,17.772
1717758000,102568,61.633,NA,65.233,NA,989.555,NA,0.595,0.974,0.954,1.403,1.325,1.754
1717801200,102568,27.1,NA,83.834,NA,990.236,NA,0.55,0.835,0.932,1.163,1.53,1.555
1718272800,102568,69.633,NA,63.0,NA,995.814,NA,9.709,10.746,13.123,14.944,13.918,16.059
1717855200,102568,63.9,NA,70.6,NA,994.49,NA,7.159,8.833,9.072,11.204,9.964,12.172
1717815600,102568,50.4,NA,69.0,NA,991.547,NA,6.559,7.725,8.614,10.018,9.485,10.808
1718132400,102568,30.9,NA,78.633,NA,995.299,NA,5.074,5.532,6.767,7.77,7.231,8.293
1718146800,102568,37.133,NA,80.334,NA,994.443,NA,5.332,5.862,6.727,7.659,7.01,8.091
1718118000,102568,45.466,NA,71.434,NA,996.607,NA,6.406,7.002,8.915,10.129,9.611,11.069
1718114400,102568,50.3,NA,69.033,NA,996.799,NA,7.581,8.037,10.81,12.0,11.858,12.97
1717700400,102568,42.9,NA,83.2,NA,984.837,NA,0.879,1.413,1.172,1.849,1.324,1.96
1717704000,102568,41.8,NA,84.3,NA,984.61,NA,0.89,1.337,1.2,1.754,1.444,1.979
1717714800,102568,31.3,NA,84.767,NA,984.902,NA,0.205,0.379,0.407,0.635,0.632,0.783
1717657200,102568,81.966,NA,75.0,NA,985.408,NA,11.784,12.318,15.511,17.469,16.145,18.188
1717912800,102568,58.867,NA,75.367,NA,988.557,NA,4.725,6.12,5.723,7.373,6.219,7.863
1717995600,102568,54.5,NA,64.7,NA,989.375,NA,3.851,4.859,4.633,5.761,4.921,6.01
1718218800,102568,31.633,NA,84.233,NA,996.053,NA,3.442,4.074,4.284,5.091,4.463,5.311
1718215200,102568,31.3,NA,84.2,NA,996.438,NA,3.467,3.998,4.241,5.011,4.447,5.229
1718154000,102568,48.534,NA,72.166,NA,995.295,NA,8.279,9.357,10.338,11.926,10.792,12.466
1718182800,102568,66.867,NA,60.0,NA,997.133,NA,8.2,9.311,10.401,12.09,10.976,12.823
1718193600,102568,64.0,NA,66.333,NA,998.274,NA,9.411,10.904,12.316,14.458,13.213,15.482
1718150400,102568,45.833,NA,76.0,NA,995.035,NA,5.584,6.481,7.034,8.247,7.365,8.669
1718452800,102568,47.967,NA,71.5,NA,1000.432,NA,2.158,2.622,2.755,3.463,2.962,3.767
1718326800,102568,50.133,NA,80.067,NA,993.457,NA,4.972,5.707,5.97,6.964,6.257,7.277
1718470800,102568,24.367,NA,85.767,NA,999.957,NA,0.241,0.436,0.444,0.696,0.558,0.74
1718366400,102568,75.6,NA,74.066,NA,994.154,NA,11.877,13.566,14.392,17.041,14.841,17.66
1718384400,102568,49.033,NA,85.834,NA,993.499,NA,16.486,18.822,19.779,23.051,20.31,23.741
1718344800,102568,57.933,NA,75.434,NA,994.247,NA,7.511,8.499,9.15,10.427,9.61,10.894
1717747200,102568,62.133,NA,64.8,NA,987.933,NA,0.516,0.974,0.856,1.313,1.172,1.607
1717725600,102568,47.7,NA,74.034,NA,986.615,NA,0.31,0.671,0.631,0.988,0.888,1.155
1717779600,102568,31.533,NA,79.367,NA,991.029,NA,0.735,1.14,0.985,1.506,1.222,1.637
1718244000,102568,50.7,NA,73.333,NA,995.344,NA,7.573,8.674,9.355,10.729,9.718,11.299
1717822800,102568,57.834,NA,65.367,NA,991.803,NA,7.643,8.973,9.864,11.381,10.663,12.422
1717884000,102568,50.633,NA,79.733,NA,990.661,NA,2.414,3.18,3.08,3.873,3.394,4.228
1717837200,102568,66.2,NA,60.5,NA,992.856,NA,5.942,7.205,7.473,8.934,8.12,9.528
1718110800,102568,59.4,NA,65.767,NA,996.846,NA,9.611,10.434,14.614,16.036,16.152,17.686
